
40;201;1;1;1;0.022422;0.0223254
40;201;1;1;2;0.0342342;0.0203492
40;201;1;1;3;0.0367334;0.0155724
40;201;1;1;4;0.0398368;0.012701
40;201;1;1;5;0.0506604;0.0126321
40;201;1;1;6;0.0642989;0.0116948
40;201;1;1;7;0.0681795;0.0122034
40;201;1;1;8;0.0790757;0.0144812 
80;201;1;1;1;0.13603;0.13592
80;201;1;1;2;0.139342;0.0797205
80;201;1;1;3;0.128422;0.0553965
80;201;1;1;4;0.171854;0.0507645
80;201;1;1;5;0.178219;0.0425199
80;201;1;1;6;0.216399;0.0346325
80;201;1;1;7;0.243685;0.0346056
80;201;1;1;8;0.27345;0.036114
120;201;1;1;1;0.436683;0.436566
120;201;1;1;2;0.376641;0.240213
120;201;1;1;3;0.333611;0.170303
120;201;1;1;4;0.385815;0.132151
120;201;1;1;5;0.404877;0.115283
120;201;1;1;6;0.51001;0.106061
120;201;1;1;7;0.538548;0.0763988
120;201;1;1;8;0.622496;0.0938545 
160;201;1;1;1;1.13586;1.13574
160;201;1;1;2;0.831428;0.600788
160;201;1;1;3;0.623702;0.299722
160;201;1;1;4;0.763891;0.308785
160;201;1;1;5;0.774641;0.255164
160;201;1;1;6;0.829338;0.172386
160;201;1;1;7;0.934956;0.159007
160;201;1;1;8;1.1125;0.194235
200;201;1;1;1;2.51919;2.51906
200;201;1;1;2;1.65976;1.31994
200;201;1;1;3;1.08383;0.621173
200;201;1;1;4;1.39328;0.673082
200;201;1;1;5;1.3591;0.546201
200;201;1;1;6;1.47322;0.320845
200;201;1;1;7;1.47749;0.292445
200;201;1;1;8;1.80867;0.360163
240;201;1;1;1;5.2266;5.22647
240;201;1;1;2;3.18151;2.70902
240;201;1;1;3;2.42728;1.81598
240;201;1;1;4;2.32808;1.3681
240;201;1;1;5;2.21155;1.09578
240;201;1;1;6;2.49954;0.918322
240;201;1;1;7;2.32386;0.54007
240;201;1;1;8;2.7902;0.709385
280;201;1;1;1;8.58718;8.58704
280;201;1;1;2;5.08555;4.43715
280;201;1;1;3;2.7502;1.91053
280;201;1;1;4;3.57631;2.23423
280;201;1;1;5;3.33181;1.79444
280;201;1;1;6;3.19014;1.00805
280;201;1;1;7;3.68863;1.29436
